Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13060330,2020-11-14 10:24:12,2020-11-14 10:20:18,48603,18469140,48603,380,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13060/SRR13060330/SRR13060330.lite.1,SRX9508285,M00175:A7.1.7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716823,SAMN16679335,simple,408170,human gut metagenome,A7.1.7_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,B77DC20D6F4581EA6D0655C75F2C86B9,2EE071E39A56BA263C94907CA794EBA0
SRR13060339,2020-11-14 10:24:12,2020-11-14 10:20:32,31748,12064240,31748,380,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13060/SRR13060339/SRR13060339.lite.1,SRX9508276,M00175:A5.1.7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716815,SAMN16679327,simple,408170,human gut metagenome,A5.1.7_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,BAC889AF1B97E3501C269AC2BE71BF83,46621C7F507010CD5791B9253772DA17
SRR13060338,2020-11-14 10:24:12,2020-11-14 10:20:14,48263,18339940,48263,380,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060338/SRR13060338.lite.1,SRX9508277,M00175:A5.2.180_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716814,SAMN16679328,simple,408170,human gut metagenome,A5.2.180_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,BB558BB0B6A721950D17EFE5F5FDF6C3,71DED5154A88E4DF34B4D47B915153DA
SRR13060337,2020-11-14 10:24:12,2020-11-14 10:20:17,40803,15505140,40803,380,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13060/SRR13060337/SRR13060337.lite.1,SRX9508278,M00175:A5.2.30_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716816,SAMN16679329,simple,408170,human gut metagenome,A5.2.30_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,E2FBFDEC437A3406C8E9390218BD0E76,CF6DDA24A8564B63DBF1560F91A3435B
SRR13060336,2020-11-14 10:24:12,2020-11-14 10:20:19,47153,17918140,47153,380,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060336/SRR13060336.lite.1,SRX9508279,M00175:A5.2.7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716817,SAMN16679330,simple,408170,human gut metagenome,A5.2.7_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,FFB2713AAB417F89ABA9FE1594F19E90,D8CF132BC2D9C2E7379041DC1BFBE3A2
SRR13060335,2020-11-14 10:50:50,2020-11-14 10:20:21,40020,15207600,40020,380,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060335/SRR13060335.lite.1,SRX9508280,M00175:A6.1.0_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716818,SAMN16679331,simple,408170,human gut metagenome,A6.1.0_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,DDDFED4B92714FD9781D53240237C166,8F06042DCE38BDAF9569574C90A982BC
SRR13060344,2020-11-14 10:24:12,2020-11-14 10:20:16,42977,16331260,42977,380,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13060/SRR13060344/SRR13060344.lite.1,SRX9508271,M00175:A4.1.7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716809,SAMN16679323,simple,408170,human gut metagenome,A4.1.7_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,1D81F7A7094BB2AE04DE62C33B6A3CA5,49F8C18100AE9F3B7BD40C6741A9FF3B
SRR13060343,2020-11-14 10:24:12,2020-11-14 10:20:55,1723777,467114320,1723777,270,188,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13060/SRR13060343/SRR13060343.lite.1,SRX9508272,NS500153:4.1.DP_wgs,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP292558,PRJNA674880,,674880,SRS7716810,SAMN16679017,simple,408170,human gut metagenome,4.1.DP_wgs,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,47497E95559816C53113BECEFB1B2FC0,C08AF590442C59B95F6EB1B576693A7A
SRR13060342,2020-11-14 10:24:12,2020-11-14 10:20:17,50990,19376200,50990,380,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13060/SRR13060342/SRR13060342.lite.1,SRX9508273,M00175:A4.2.30_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716811,SAMN16679324,simple,408170,human gut metagenome,A4.2.30_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,47F1D30312C9451B2CABEEAAEB6564F3,1E9E8296513D368CFF37B514B2DDD24E
SRR13060341,2020-11-14 10:24:12,2020-11-14 10:20:19,46693,17743340,46693,380,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13060/SRR13060341/SRR13060341.lite.1,SRX9508274,M00175:A4.2.60_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716812,SAMN16679325,simple,408170,human gut metagenome,A4.2.60_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,387E4DE1E685E3CF2A72BC7981093C8F,75DAAD364E0077A79B21FFD0BBF1B3B3
